Latin Name,Common Name,Community,Vegetation Type
Coreopsis verticillata,whorled coreopsis,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Cornus florida,flowering dogwood,Piedmont Acidic Oak Hickory Woodland,tree
Cyperus echinatus,globe flatsedge ,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Cyperus odoratus,fragrant flatsedge,Piedmont Prairie (acidic wet variant),graminoid
Danthonia spicata,poverty oatgrass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Danthonia spicata,poverty oatgrass,Piedmont Acidic Oak Hickory Woodland,graminoid
Dennstaedtia punctilobula,hay-scented fern,Piedmont Acidic Oak Hickory Woodland,fern
Desmodium marilandicum,Maryland tick-trefoil,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Desmodium paniculatum,narrow-leaf tick-trefoil,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Desmodium paniculatum var. paniculatum,narrow-leaf tick-trefoil,Piedmont Acidic Oak Hickory Woodland,flowering forb
Desmodium rotundifolium,round-leaf tick-trefoil,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Dichanthelium acuminatum,wooly panic grass,Piedmont Acidic Oak Hickory Woodland,graminoid
Dichanthelium acuminatum var. acuminatum,woolly panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium acuminatum var. fasciculatum,slender-stemmed panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium boscii,Bosc's panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium boscii,Bosc's panic grass,Piedmont Acidic Oak Hickory Woodland,graminoid
Dichanthelium clandestinum,deer-tongue grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium clandestinum,deer-tongue grass,Piedmont Prairie (acidic wet variant),graminoid
Dichanthelium commutatum var. commutatum,variable panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium commutatum var. commutatum,variable panic grass,Piedmont Acidic Oak Hickory Woodland,graminoid
Dichanthelium depauperatum,starved panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium dichotomum var. dichotomum,small-fruited panic grass,Piedmont Acidic Oak Hickory Woodland,graminoid
Dichanthelium microcarpon,branched panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Dichanthelium scoparium,velvet panic grass,Piedmont Prairie (acidic wet variant),graminoid
Diodia teres,common buttonweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Diospyros virginiana,persimmon,Piedmont Acidic Oak Hickory Woodland,tree
Dryopteris marginalis,marginal wood fern,Piedmont Acidic Oak Hickory Woodland,fern
Eleocharis tenuis,slender spikerush,Piedmont Prairie (acidic wet variant),graminoid
Elymus virginicus,Virginia wild rye,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Elymus virginicus,Virginia wild rye,Piedmont Prairie (acidic wet variant),graminoid
Endodeca serpentaria,Virginia snake root,Piedmont Acidic Oak Hickory Woodland,flowering forb
Eragrostis spectabilis,purple lovegrass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Erechtites hieraciifolius,fireweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Erigeron strigosus ,daisy fleabane,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
